ipc_section,bns_section,note
223,260,Escape from confinement or custody negligently suffered by public servant
224,261,Resistance or obstruction by a person to his lawful apprehension
225,262,Resistance or obstruction to lawful apprehension of another person
225A,263,Omission to apprehend or sufferance of escape on part of public servant in cases not otherwise provided for
225B,264,Resistance or obstruction to lawful apprehension in cases not otherwise provided for
226,,Unlawful return from transportation (abolished)
227,265,Violation of condition of remission of punishment
228,266,Intentional insult or interruption to public servant sitting in judicial proceeding
228A,72,Disclosure of identity of the victim of certain offences
229,267,Personation of a juror or assessor
229A,268,Failure by person released on bail or bond to appear in Court
231,268,Counterfeiting coin
232,269,Counterfeiting Indian coin
233,270,Making or selling instrument for counterfeiting coin
234,271,Making or selling instrument for counterfeiting Indian coin
235,272,Possession of instrument or material for the purpose of using the same for counterfeiting coin
236,273,Abetting in India the counterfeiting out of India of coin
237,274,Import or export of counterfeit coin
238,275,Import or export of counterfeits of the Indian coin
239,276,Delivery of coin possessed with knowledge that it is counterfeit
240,277,Delivery of Indian coin possessed with knowledge that it is counterfeit
241,278,Delivery of coin as genuine which when first possessed the deliverer did not know to be counterfeit
242,279,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof
243,280,Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof
244,281,Person employed in mint causing coin to be of different weight or composition from that fixed by law
245,282,Unlawfully taking coining instrument from mint
246,283,Fraudulently diminishing weight or altering composition of coin
247,284,Fraudulently diminishing weight or altering composition of Indian coin
248,285,Altering appearance of coin with intent that it shall pass as coin of different description
249,286,Altering appearance of Indian coin with intent that it shall pass as coin of different description
250,287,Delivery of coin possessed with knowledge that it is altered
251,288,Delivery of Indian coin possessed with knowledge that it is altered
252,289,Possession of altered coin by person who knew it to be altered when he became possessed thereof
253,290,Possession of altered Indian coin by person who knew it to be altered when he became possessed thereof
254,291,Delivery of coin as genuine which the deliverer did not know to be altered
255,292,Counterfeiting Government stamp
256,293,Selling counterfeit Government stamp
257,294,Possession of instrument or material for counterfeiting Government stamp
258,295,Making or selling instrument for counterfeiting Government stamp
259,296,Possession of counterfeit Government stamp
260,297,Using as genuine a Government stamp known to be counterfeit
261,298,Effacing writing from substance bearing Government stamp or removing from document a stamp used for it with intent to cause loss to Government
262,299,Using Government stamp known to have been before used
263,300,Erasure of mark denoting that stamp has been used
263A,301,Prohibition of fictitious stamps
268,302,Public nuisance
269,303,Negligent act likely to spread infection of disease dangerous to life
270,304,Malignant act likely to spread infection of disease dangerous to life
271,305,Disobedience to quarantine rule
272,306,Adulteration of food or drink which a person intends to sell
273,307,Sale of noxious food or drink
274,308,Adulteration of drugs
275,309,Sale of adulterated drugs
276,310,Sale of drug as a different drug or preparation
277,311,Fouling water of public spring or reservoir
278,312,Making atmosphere noxious to health
279,281,Rash driving or riding on a public way
280,282,Rash navigation of vessel
281,283,Exhibition of false light mark or buoy
282,284,Conveying person by water for hire in unsafe or overloaded vessel
283,285,Danger or obstruction in public way or line of navigation
284,286,Negligent conduct with respect to poisonous substance
285,287,Negligent conduct with respect to fire or combustible matter
286,288,Negligent conduct with respect to explosive substance
287,289,Negligent conduct with respect to machinery
288,290,Negligent conduct with respect to pulling down or repairing buildings
289,291,Negligent conduct with respect to animal
290,292,Punishment for public nuisance in cases not otherwise provided for
291,293,Continuance of nuisance after injunction to discontinue
292,294,Sale etc of obscene books etc
292A,,Printing etc of grossly indecent or scurrilous matter (separate provision in BNS)
293,295,Sale etc of obscene objects to young person
294,296,Obscene acts and songs
294A,297,Keeping lottery office
295,298,Injuring or defiling place of worship with intent to insult the religion of any class
295A,299,Deliberate and malicious acts intended to outrage religious feelings of any class
296,300,Disturbing religious assembly
297,301,Trespassing on burial places etc
298,302,Uttering words etc with deliberate intent to wound the religious feelings of any person
299,101,Culpable homicide
300,100,Murder
301,102,Culpable homicide by causing death of person other than person whose death was intended
302,103,Punishment for murder
303,104,Punishment for murder by life-convict (modified in BNS)
304,105,Punishment for culpable homicide not amounting to murder
304A,106,Causing death by negligence
304B,80,Dowry death
305,107,Abetment of suicide of child or insane person
306,108,Abetment of suicide
307,109,Attempt to murder
308,110,Attempt to commit culpable homicide
309,226,Attempt to commit suicide (decriminalised/modified in BNS)
310,112,Thug (omitted in BNS)
311,113,Punishment of Thug (omitted in BNS)
312,88,Causing miscarriage
313,89,Causing miscarriage without woman's consent
314,90,Death of woman caused by act done with intent to cause miscarriage
315,91,Act done with intent to prevent child being born alive or to cause it to die after birth
316,92,Causing death of quick unborn child by act amounting to culpable homicide
317,93,Exposure and abandonment of child under twelve years by parent or person having care of it
318,94,Concealment of birth by secret disposal of dead body
319,114,Hurt
320,115,Grievous hurt
321,115,Voluntarily causing hurt
322,116,Voluntarily causing grievous hurt
323,115,Punishment for voluntarily causing hurt
324,117,Voluntarily causing hurt by dangerous weapons or means
325,117,Punishment for voluntarily causing grievous hurt
326,118,Voluntarily causing grievous hurt by dangerous weapons or means
326A,124,Voluntarily causing grievous hurt by use of acid etc
326B,125,Voluntarily throwing or attempting to throw acid
327,119,Voluntarily causing hurt to extort property or to constrain to an illegal act
328,120,Causing hurt by means of poison etc with intent to commit an offence
329,121,Voluntarily causing grievous hurt to extort property or to constrain to an illegal act
330,122,Voluntarily causing hurt to extort confession or to compel restoration of property etc
331,123,Voluntarily causing grievous hurt to extort confession or to compel restoration of property
332,126,Voluntarily causing hurt to deter public servant from his duty
333,127,Voluntarily causing grievous hurt to deter public servant from his duty
334,128,Voluntarily causing hurt on provocation
335,129,Voluntarily causing grievous hurt on grave and sudden provocation
336,125,Act endangering life or personal safety of others
337,125,Causing hurt by an act which endangers life or the personal safety of others
338,125,Causing grievous hurt by act which endangers life or the personal safety of others
339,127,Wrongful restraint
340,128,Wrongful confinement
341,131,Punishment for wrongful restraint
342,132,Punishment for wrongful confinement
343,133,Wrongful confinement for three or more days
344,134,Wrongful confinement for ten or more days
345,135,Wrongful confinement of person for whose liberation writ has been issued
346,136,Wrongful confinement in secret
347,137,Wrongful confinement to extort property or constrain to illegal act
348,138,Wrongful confinement to extort confession or compel restoration of property
350,139,Criminal force
351,140,Assault
352,141,Punishment for assault or criminal force otherwise than on grave provocation
353,142,Assault or criminal force to deter public servant from discharge of his duty
354,74,Assault or criminal force to woman with intent to outrage her modesty
354A,75,Sexual harassment
354B,76,Assault or use of criminal force to woman with intent to disrobe
354C,77,Voyeurism
354D,78,Stalking
355,143,Assault or criminal force with intent to dishonour person otherwise than on grave provocation
356,144,Assault or criminal force in attempt to commit theft of property carried by a person
357,145,Assault or criminal force in attempt wrongfully to confine a person
358,146,Assault or criminal force on grave provocation
359,137,Kidnapping
360,137,Kidnapping from India
361,137,Kidnapping from lawful guardianship
362,137,Abduction
363,137,Punishment for kidnapping
363A,138,Kidnapping or maiming a minor for purposes of begging
364,139,Kidnapping or abducting in order to murder
364A,140,Kidnapping for ransom etc
365,141,Kidnapping or abducting with intent secretly and wrongfully to confine person
366,142,Kidnapping abducting or inducing woman to compel her marriage etc
366A,143,Procuration of minor girl
366B,144,Importation of girl from foreign country
367,145,Kidnapping or abducting in order to subject person to grievous hurt slavery etc
368,146,Wrongfully concealing or keeping in confinement kidnapped or abducted person
369,147,Kidnapping or abducting child under ten years with intent to steal from its person
370,143,Trafficking of person
370A,143,Exploitation of a trafficked person
371,143,Habitual dealing in slaves
372,143,Selling minor for purposes of prostitution etc
373,143,Buying minor for purposes of prostitution etc
374,143,Unlawful compulsory labour
375,63,Rape
376,64,Punishment for rape
376A,66,Punishment for causing death or resulting in persistent vegetative state of victim
376AB,65,Punishment for rape on woman under twelve years of age
376B,67,Sexual intercourse by husband upon his wife during separation
376C,68,Sexual intercourse by person in authority
376D,70,Gang rape
376DA,70,Punishment for gang rape on woman under sixteen years of age
376DB,70,Punishment for gang rape on woman under twelve years of age
376E,71,Punishment for repeat offenders
377,38,Unnatural offences (omitted / modified in BNS)
378,303,Theft
379,304,Punishment for theft
380,305,Theft in dwelling house etc
381,306,Theft by clerk or servant of property in possession of master
382,307,Theft after preparation made for causing death hurt or restraint in order to the committing of the theft
383,308,Extortion
384,309,Punishment for extortion
385,310,Putting person in fear of injury in order to commit extortion
386,311,Extortion by putting a person in fear of death or grievous hurt
387,312,Putting person in fear of death or of grievous hurt in order to commit extortion
388,313,Extortion by threat of accusation of an offence punishable with death or imprisonment for life etc
389,314,Putting person in fear of accusation of offence in order to commit extortion
390,315,Robbery
391,310,Dacoity
392,316,Punishment for robbery
393,317,Attempt to commit robbery
394,318,Voluntarily causing hurt in committing robbery
395,319,Punishment for dacoity
396,310,Dacoity with murder
397,320,Robbery or dacoity with attempt to cause death or grievous hurt
398,321,Attempt to commit robbery or dacoity when armed with deadly weapon
399,322,Making preparation to commit dacoity
400,323,Punishment for belonging to gang of dacoits
401,324,Punishment for belonging to gang of thieves
402,325,Assembling for purpose of committing dacoity
403,326,Dishonest misappropriation of property
404,327,Dishonest misappropriation of property possessed by deceased person at the time of his death
405,316,Criminal breach of trust
406,316,Punishment for criminal breach of trust
407,317,Criminal breach of trust by carrier etc
408,318,Criminal breach of trust by clerk or servant
409,319,Criminal breach of trust by public servant or by banker merchant or agent
410,328,Stolen property
411,329,Dishonestly receiving stolen property
412,330,Dishonestly receiving property stolen in the commission of a dacoity
413,331,Habitually dealing in stolen property
414,332,Assisting in concealment of stolen property
415,318,Cheating
416,318,Cheating by personation
417,318,Punishment for cheating
418,318,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect
419,319,Punishment for cheating by personation
420,318,Cheating and dishonestly inducing delivery of property
421,320,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors
422,321,Dishonestly or fraudulently preventing debt being available for creditors
423,322,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration
424,323,Dishonest or fraudulent removal or concealment of property
425,324,Mischief
426,324,Punishment for mischief
427,325,Mischief causing damage to the amount of fifty rupees
428,326,Mischief by killing or maiming animal of the value of ten rupees
429,326,Mischief by killing or maiming cattle etc of any value or any animal of the value of fifty rupees
430,327,Mischief by injury to works of irrigation or by wrongfully diverting water
431,328,Mischief by injury to public road bridge river or channel
432,329,Mischief by causing inundation or obstruction to public drainage attended with damage
433,330,Mischief by destroying moving or rendering less useful a light-house or sea-mark
434,331,Mischief by destroying or moving etc a land-mark fixed by public authority
435,332,Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees
436,333,Mischief by fire or explosive substance with intent to destroy house etc
437,334,Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden
438,335,Punishment for the mischief described in section 437 committed by fire or any explosive substance
439,336,Mischief done to a vessel with intent to render it unseaworthy
440,337,Mischief committed after preparation made for causing death or hurt
441,329,Criminal trespass
442,330,House-trespass
443,331,Lurking house-trespass
444,332,Lurking house-trespass by night
445,333,House-breaking
446,334,House-breaking by night
447,329,Punishment for criminal trespass
448,329,Punishment for house-trespass
449,330,House-trespass in order to commit offence punishable with death
450,330,House-trespass in order to commit offence punishable with imprisonment for life
451,330,House-trespass in order to commit offence punishable with imprisonment
452,335,House-trespass after preparation for hurt assault or wrongful restraint
453,336,Lurking house-trespass or house-breaking
454,337,Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment
455,338,Lurking house-trespass or house-breaking after preparation for hurt assault or wrongful restraint
456,339,Lurking house-trespass or house-breaking by night
457,340,Lurking house-trespass or house-breaking by night in order to commit offence punishable with imprisonment
458,341,Lurking house-trespass or house-breaking by night after preparation for hurt assault or wrongful restraint
459,342,Grievous hurt caused whilst committing lurking house-trespass or house-breaking
460,343,All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them
461,344,Dishonestly breaking open receptacle containing property
462,345,Punishment for same offence when committed by person entrusted with custody
463,336,Forgery
464,336,Making a false document
465,336,Punishment for forgery
466,337,Forgery of record of Court or of public register etc
467,338,Forgery of valuable security will etc
468,339,Forgery for purpose of cheating
469,340,Forgery for purpose of harming reputation
470,341,Forged document
471,342,Using as genuine a forged document or electronic record
472,343,Making or possessing counterfeit seal etc with intent to commit forgery punishable under section 467
473,344,Making or possessing counterfeit seal etc with intent to commit forgery punishable otherwise
474,345,Having possession of document described in section 466 or 467 knowing it to be forged and intending to use it as genuine
475,346,Counterfeiting device or mark used for authenticating documents described in section 467 or possessing counterfeit marked material
476,347,Counterfeiting device or mark used for authenticating documents other than those described in section 467 or possessing counterfeit marked material
477,348,Fraudulent cancellation destruction etc of will authority to adopt or valuable security
477A,349,Falsification of accounts
489A,350,Counterfeiting currency-notes or bank-notes
489B,351,Using as genuine forged or counterfeit currency-notes or bank-notes
489C,352,Possession of forged or counterfeit currency-notes or bank-notes
489D,353,Making or possessing instruments or materials for forging or counterfeiting currency-notes or bank-notes
489E,354,Making or using documents resembling currency-notes or bank-notes
490,,Breach of contract of service during voyage or journey (omitted BNS)
491,86,Breach of contract to attend on and supply wants of helpless person
492,,Breach of contract by an apprentice (omitted BNS)
493,82,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
494,83,Marriage again during lifetime of husband or wife
495,84,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
496,85,Marriage ceremony fraudulently gone through without lawful marriage
497,,Adultery (struck down by SC in Joseph Shine v UOI 2018)
498,86,Enticing or taking away or detaining with criminal intent a married woman
498A,84,Husband or relative of husband of a woman subjecting her to cruelty
499,356,Defamation
500,356,Punishment for defamation
501,357,Printing or engraving matter known to be defamatory
502,358,Sale of printed or engraved substance containing defamatory matter
503,351,Criminal intimidation
504,352,Intentional insult with intent to provoke breach of the peace
505,353,Statements conducing to public mischief
506,351,Punishment for criminal intimidation
507,352,Criminal intimidation by an anonymous communication
508,353,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure
509,79,Word gesture or act intended to insult the modesty of a woman
510,355,Misconduct in public by a drunken person
511,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment
